date,time_30min,segment_rows,unique_segments,mean_speed_kmh,mean_jam_factor
2025-12-21,21:00,341,341,12.61967741935484,1.1533724340175953
2025-12-21,21:30,341,341,12.600498533724341,1.1304985337243403
2025-12-21,22:00,341,341,12.890967741935484,0.8750733137829911
2025-12-21,22:30,341,341,12.929208211143694,0.8387096774193549
2025-12-21,23:00,341,341,13.684222873900293,0.556891495601173
2025-12-21,23:30,341,341,14.152815249266862,0.2460410557184751
2025-12-22,00:00,341,341,14.6091788856305,0.14017595307917888
2025-12-22,00:30,341,341,14.653196480938416,0.11407624633431085
2025-12-22,01:00,341,341,14.778651026392962,0.07683284457478005
2025-12-22,01:30,341,341,14.69800586510264,0.11964809384164223
2025-12-22,02:00,341,341,14.705366568914956,0.12727272727272726
2025-12-22,02:30,341,341,14.7158357771261,0.12580645161290321
2025-12-22,03:00,341,341,14.66524926686217,0.1501466275659824
2025-12-22,03:30,341,341,14.701788856304987,0.1472140762463343
2025-12-22,04:00,341,341,14.609794721407624,0.16304985337243402
2025-12-22,04:30,341,341,14.585571847507332,0.18709677419354837
2025-12-22,05:00,341,341,14.530175953079178,0.21026392961876833
2025-12-22,05:30,341,341,14.45366568914956,0.24164222873900296
2025-12-22,06:00,341,341,14.410381231671552,0.25425219941348975
2025-12-22,06:30,341,341,13.971290322580645,0.4096774193548387
2025-12-22,07:00,341,341,13.580967741935483,0.5560117302052786
2025-12-22,07:30,341,341,12.877976539589444,0.8868035190615835
2025-12-22,08:00,343,343,12.427201166180756,1.3425655976676385
2025-12-22,08:30,341,341,12.15958944281525,1.326099706744868
2025-12-22,09:00,341,341,12.234486803519061,1.1888563049853371
2025-12-22,09:30,341,341,12.177507331378298,1.2480938416422287
2025-12-22,10:00,341,341,12.251964809384164,1.1571847507331379
2025-12-22,10:30,341,341,12.123020527859238,1.2595307917888563
2025-12-22,11:00,341,341,11.956686217008798,1.3219941348973607
2025-12-22,11:30,341,341,11.854105571847507,1.3829912023460411
2025-12-22,12:00,341,341,11.90316715542522,1.3642228739002933
2025-12-22,12:30,341,341,11.827038123167155,1.4234604105571846
2025-12-22,13:00,341,341,11.779208211143695,1.3841642228739004
2025-12-22,13:30,341,341,11.791964809384163,1.3656891495601173
2025-12-22,14:00,341,341,11.652727272727272,1.467741935483871
2025-12-22,14:30,341,341,11.76357771260997,1.5061583577712612
2025-12-22,15:30,341,341,11.665806451612903,1.4202346041055718
2025-12-22,16:00,341,341,11.75131964809384,1.4838709677419355
2025-12-22,16:30,341,341,11.56258064516129,1.587683284457478
2025-12-22,17:00,341,341,11.450762463343109,1.6428152492668624
2025-12-22,17:30,341,341,11.194222873900292,1.849266862170088
2025-12-22,18:00,341,341,11.653988269794722,1.6718475073313783
2025-12-22,18:30,341,341,11.656129032258065,1.5806451612903225
2025-12-22,19:00,341,341,12.09108504398827,1.3008797653958946
2025-12-22,19:30,342,342,12.063070175438595,1.2926900584795322
2025-12-22,20:00,341,341,12.606715542521995,1.0501466275659825
2025-12-22,20:30,341,341,12.963519061583579,0.8413489736070381
2025-12-22,21:00,341,341,12.993225806451612,0.841642228739003
2025-12-22,21:30,341,341,13.118211143695016,0.8170087976539591
2025-12-22,22:00,341,341,13.394428152492669,0.6914956011730206
2025-12-22,22:30,341,341,13.499589442815248,0.6703812316715543
2025-12-22,23:00,341,341,14.029853372434019,0.3744868035190616
2025-12-22,23:30,341,341,14.368064516129033,0.2181818181818182
2025-12-23,00:00,341,341,14.645102639296189,0.12346041055718475
2025-12-23,00:30,341,341,14.72900293255132,0.08357771260997067
2025-12-23,01:00,341,341,14.807243401759532,0.0750733137829912
2025-12-23,01:30,341,341,14.790821114369502,0.06070381231671554
2025-12-23,02:00,341,341,14.763049853372433,0.09325513196480939
2025-12-23,02:30,341,341,14.730469208211144,0.11055718475073315
2025-12-23,03:00,341,341,14.69398826979472,0.1343108504398827
2025-12-23,03:30,341,341,14.748387096774193,0.13812316715542522
2025-12-23,04:00,341,341,14.635278592375366,0.15718475073313784
2025-12-23,04:30,341,341,14.604926686217008,0.17302052785923755
2025-12-23,05:00,341,341,14.604985337243402,0.18005865102639296
2025-12-23,05:30,341,341,14.412844574780058,0.21436950146627565
2025-12-23,06:00,341,341,14.265454545454547,0.25161290322580643
2025-12-23,06:30,341,341,14.069648093841643,0.2912023460410557
2025-12-23,07:00,341,341,13.795366568914957,0.4278592375366569
2025-12-23,07:30,341,341,13.124956011730204,0.8407624633431084
2025-12-23,08:00,342,342,12.592543859649123,1.208187134502924
2025-12-23,08:30,341,341,12.239296187683285,1.2284457478005864
2025-12-23,09:00,341,341,12.33891495601173,1.1618768328445748
